step,reward,seed
0,0.5330902128263064,0
25000,1.9764105841272381,0
50000,186.76167870783223,0
75000,302.2821555422386,0
100000,268.2136786396143,0
125000,328.948791411711,0
150000,311.0072752986372,0
175000,330.36557925849627,0
200000,428.5264189145834,0
225000,455.40726119881657,0
250000,450.31710407791405,0
275000,369.93189066923424,0
300000,490.0438702218362,0
325000,498.4685363459436,0
350000,524.1971768115757,0
375000,586.006926201487,0
400000,570.2756216791888,0
425000,440.36548425779637,0
450000,440.84441215691476,0
475000,552.7898304664718,0
500000,589.4411558683282,0
525000,570.9168795853599,0
550000,635.1477184056478,0
575000,599.0849116416917,0
600000,614.9399728827882,0
625000,593.7536285711531,0
650000,676.5427289586936,0
675000,536.4726083247548,0
700000,660.043621507096,0
725000,662.5667505135814,0
750000,686.9196615632926,0
775000,448.94422529296526,0
800000,584.3746206001674,0
825000,268.6696996807931,0
850000,507.59775678528456,0
875000,451.05954633194244,0
900000,595.1940057823135,0
925000,559.7870375096201,0
950000,623.4588238086378,0
975000,648.9533582479603,0
