step,reward,seed
0,0.26562266080455244,1
25000,179.53453570436437,1
50000,193.790768336663,1
75000,376.3024234102804,1
100000,343.4299853949109,1
125000,438.3438171289514,1
150000,363.721952063914,1
175000,484.38944070065344,1
200000,480.4014172408124,1
225000,481.60426688584687,1
250000,540.3783608756194,1
275000,583.0077169244045,1
300000,527.7895634442931,1
325000,577.8700328048078,1
350000,610.1324480288696,1
375000,615.88361766501,1
400000,646.2891025560234,1
425000,600.7922991128191,1
450000,615.2134443613077,1
475000,652.1316167701445,1
500000,673.6059664835528,1
525000,647.9689985781183,1
550000,561.1219351566947,1
575000,593.6770825852485,1
600000,534.4711708662038,1
625000,582.4490762231245,1
650000,613.7544611087019,1
675000,702.5420954827853,1
700000,706.9850165997993,1
725000,581.4890787716944,1
750000,686.3906708521157,1
775000,699.5175596727752,1
800000,650.5558682278797,1
825000,662.4441604944974,1
850000,669.4900938608623,1
875000,668.875276899489,1
900000,754.0819709743189,1
925000,719.2372617753556,1
950000,748.1601529568777,1
975000,721.9632611728737,1
1000000,699.857712122699,1
