step,reward,seed
0,4.765213398144556,2
25000,16.322946702463675,2
50000,95.73966898618504,2
75000,218.72571721843047,2
100000,388.51748721925895,2
125000,349.7465648145086,2
150000,373.5146844414975,2
175000,470.30316547206655,2
200000,502.35206509068195,2
225000,491.99238335428316,2
250000,430.1786991106522,2
275000,300.94128937181034,2
300000,434.5500542756487,2
325000,516.7624467590892,2
350000,540.4763437103285,2
375000,374.2773964227683,2
400000,544.6152584550475,2
425000,568.7933813148186,2
450000,531.3163029810773,2
475000,568.0920141691946,2
500000,579.7165157616594,2
525000,589.3478133843093,2
550000,586.273495909686,2
575000,593.1293051482003,2
600000,612.2220298697805,2
625000,583.7361710046346,2
650000,601.8762485046218,2
675000,631.402738548573,2
700000,644.2953673632311,2
725000,651.2848053815949,2
750000,584.5768366001223,2
775000,655.4273644036921,2
800000,649.3723187701462,2
825000,656.0567385724178,2
850000,664.6872755295918,2
875000,651.8113466170622,2
900000,661.4565111074651,2
925000,667.309183601825,2
950000,648.0762272107274,2
975000,673.1392457265559,2
1000000,670.4209799504781,2
