step,reward,seed
0,0.001025958739796684,1
25000,0.8615537990856561,1
50000,2.0496716159774855,1
75000,1.7630200349869338,1
100000,0.7196492793468688,1
125000,2.394778897923552,1
150000,0.0,1
175000,1.6023440414404426,1
200000,5.943608794711785e-06,1
225000,0.32111542087321615,1
250000,1.682514323352056,1
275000,8.099850484137761,1
300000,21.50867466247209,1
325000,46.78634395079674,1
350000,22.712939733197413,1
375000,44.27039480754466,1
400000,74.90251977891218,1
425000,70.97975130327157,1
450000,80.48169876457528,1
475000,101.93658856428188,1
500000,103.28347186300262,1
525000,125.1421780027274,1
550000,124.27162794809526,1
575000,128.74783251395485,1
600000,142.53515847492648,1
625000,152.61725266136483,1
650000,159.2940970340452,1
675000,149.93893753896975,1
700000,172.49666021495287,1
725000,152.86177923444853,1
750000,150.33601385843434,1
775000,187.1377611360846,1
800000,188.25279070951888,1
825000,159.43591947288158,1
850000,177.0604110291269,1
875000,162.11088494793918,1
900000,186.96133868977577,1
925000,176.76024597097518,1
950000,193.7136368507499,1
975000,195.7601275520216,1
1000000,187.86334296999777,1
